?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/gmo/GMO_001155>	"Disodium phosphate dihydrate | リン酸ナトリウム二水和物"		
<http://purl.jp/bio/10/gmo/GMO_001156>	"Phenol red | フェノールレッド"	"フェノールスルホンフタレイン | Phenolsulfonphthalein"	
<http://purl.jp/bio/10/gmo/GMO_001157>	"Cornmeal extract | コーンミール抽出液"		
<http://purl.jp/bio/10/gmo/GMO_001158>	"Trisodium EDTA | EDTA三ナトリウム"	"エチレンジアミン四酢酸三ナトリウム"	
<http://purl.jp/bio/10/gmo/GMO_001159>	"Bacto &trade; malt extract"		"麦芽オオムギの水溶性抽出物"
<http://purl.jp/bio/10/gmo/GMO_001160>	"クエン酸三ナトリウム | Trisodium citrate"		
<http://purl.jp/bio/10/gmo/GMO_001161>	"Monosodium EDTA | エチレンジアミン四酢酸ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001162>	"Nicotinamide | ニコチンアミド"	"Niacinamide | Nicotinic acid amide"	
<http://purl.jp/bio/10/gmo/GMO_001163>	"塩化カルシウム六水和物 | Calcium chloride hexahydrate"		
<http://purl.jp/bio/10/gmo/GMO_001164>	"Rifampicin solution | リファンピシン溶液"		
<http://purl.jp/bio/10/gmo/GMO_001165>	"Coenzyme M | 補酵素M"	"Mercaptoethanesulfonic acid | 2-Mercaptoethanesulfonic acid | コエンザイムM"	
<http://purl.jp/bio/10/gmo/GMO_001166>	"Soil extract | 土壌抽出物"		
<http://purl.jp/bio/10/gmo/GMO_001167>	"Pyridoxal hydrochloride | 塩酸ピリドキサール"		"http://purl.obolibrary.org/obo/131529"
<http://purl.jp/bio/10/gmo/GMO_001168>	"グルタミン酸ナトリウム一水和物 | Sodium glutamate monohydrate"	"Monosodium glutamate monohydrate"	
<http://purl.jp/bio/10/gmo/GMO_001169>	"Difco &trade; Casamino acids, vitamin assay"		
<http://purl.jp/bio/10/gmo/GMO_001170>	"ヒスチジン | Histidine"		
<http://purl.jp/bio/10/gmo/GMO_001171>	"Magnesium chloride monohydrate | 塩化マグネシウム一水和物"		
<http://purl.jp/bio/10/gmo/GMO_001172>	"スキムミルク | Skim milk"		
<http://purl.jp/bio/10/gmo/GMO_001173>	"Potassium sulfate | 硫酸カリウム"		
<http://purl.jp/bio/10/gmo/GMO_001174>	"Press yeast"		
<http://purl.jp/bio/10/gmo/GMO_001175>	"DL-alpha-Methylbutyric acid"		
