?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/mpo#MPO_04137>	"MK-9(H10)"		
<http://purl.jp/bio/10/mpo#MPO_04138>	"MMK"	"Methylmenaquinone"	
<http://purl.jp/bio/10/mpo#MPO_04139>	"MMK-5"	"Methylmenaquinone-5"	
<http://purl.jp/bio/10/mpo#MPO_04140>	"MMK-6"	"Methylmenaquinone-6"	
<http://purl.jp/bio/10/mpo#MPO_04141>	"MMK-7"	"Methylmenaquinone-7"	
<http://purl.jp/bio/10/mpo#MPO_04142>	"MMK-8"	"Methylmenaquinone-8"	
<http://purl.jp/bio/10/mpo#MPO_04143>	"MMK-5(H10)"	"Methylmenaquinone-5(H10)"	
<http://purl.jp/bio/10/mpo#MPO_04144>	"MMK-6(H12)"	"Methylmenaquinone-6(H12)"	
<http://purl.jp/bio/10/mpo#MPO_04145>	"MTK-6"	"Methylmenaquinone-6"	
<http://purl.jp/bio/10/mpo#MPO_04146>	"Q-10(H2)"	"Ubiquinone-10(H2)"	
<http://purl.jp/bio/10/mpo#MPO_04147>	"Q-10(H4)"	"Ubiquinone-10(H4)"	
<http://purl.jp/bio/10/mpo#MPO_04148>	"SQ"	"Smaragdiquinone"	
<http://purl.jp/bio/10/mpo#MPO_04149>	"SQA-8"	"Smaragdiquinone A-8"	
