substrate_label	card_count	example_cards	metatraits_chebi_id	chebi_label_from_oak	label_match	kgm_chebi_id	kgm_chebi_label	kgm_label_match	kgm_matches_metatraits	audit_status
acetate	23	aerobic-catabolization-acetate; aerobic-growth-acetate; anaerobic-catabolization-acetate	CHEBI:15022	electron donor	mismatch			not_found	n/a	mismatch
acetic acid	11	aerobic-growth-acetic-acid; assimilation-acetic-acid; builds-acid-from-acetic-acid	CHEBI:16411	indole-3-acetic acid	mismatch	CHEBI:15366	acetic acid	exact	no	mismatch
acetoacetate	9	assimilation-acetoacetate; builds-acid-from-acetoacetate; carbon-source-acetoacetate	CHEBI:13705	acetoacetate	exact			not_found	n/a	verified
acetoin	5	assimilation-acetoin; growth-acetoin; hydrolysis-acetoin	CHEBI:15688	acetoin	exact			not_found	n/a	verified
acetomycin	1	produces-acetomycin			no_curie			not_found	n/a	no_curie
acetone	5	anaerobic-growth-acetone; carbon-source-acetone; growth-acetone	CHEBI:15347	acetone	exact			not_found	n/a	verified
acetylcholine	1	produces-acetylcholine	CHEBI:15355	acetylcholine	exact			not_found	n/a	verified
acetylene	1	reduction-acetylene	CHEBI:27518	acetylene	exact			not_found	n/a	verified
acetylsalicylate	1	carbon-source-acetylsalicylate			no_curie			not_found	n/a	no_curie
achromoviromycin	1	produces-achromoviromycin			no_curie			not_found	n/a	no_curie
achromycin	1	produces-achromycin	CHEBI:27902	tetracycline	mismatch			not_found	n/a	mismatch
acid phosphatase (EC3.1.3.2)	2	enzyme-activity-acid-phosphatase-ec3-1-3-2; enzyme-activity-acid-phosphatase-ec3-1-3-2			no_curie			not_found	n/a	no_curie
aconitate	2	carbon-source-aconitate; growth-aconitate	CHEBI:22210	aconitate(3-)	mismatch			not_found	n/a	mismatch
acrylate	1	assimilation-acrylate	CHEBI:37080	acrylate	exact			not_found	n/a	verified
actinohivin	1	produces-actinohivin			no_curie			not_found	n/a	no_curie
actinomycetin	1	produces-actinomycetin			no_curie			not_found	n/a	no_curie
actinomycin	1	produces-actinomycin	CHEBI:15369	actinomycin	exact			not_found	n/a	verified
actinomycin A	1	produces-actinomycin-a			no_curie			not_found	n/a	no_curie
actinomycin B	1	produces-actinomycin-b			no_curie			not_found	n/a	no_curie
actinomycin C	1	produces-actinomycin-c			no_curie			not_found	n/a	no_curie
actinomycin D	1	produces-actinomycin-d			no_curie			not_found	n/a	no_curie
actinomycin X	1	produces-actinomycin-x			no_curie			not_found	n/a	no_curie
actinorhodin	1	produces-actinorhodin	CHEBI:2448	actinorhodin	exact			not_found	n/a	verified
actinotiocin	1	produces-actinotiocin			no_curie			not_found	n/a	no_curie
adenine	6	assimilation-adenine; carbon-source-adenine; degradation-adenine	CHEBI:16708	adenine	exact			not_found	n/a	verified
adenomycin	1	produces-adenomycin			no_curie			not_found	n/a	no_curie
adenosine	6	assimilation-adenosine; builds-acid-from-adenosine; carbon-source-adenosine	CHEBI:16335	adenosine	exact			not_found	n/a	verified
adenosine 5&#39;-monophosphate	2	carbon-source-adenosine-5-monophosphate; oxidation-adenosine-5-monophosphate	CHEBI:16027	adenosine 5'-monophosphate	mismatch			not_found	n/a	mismatch
adenyl cyclase hemolysin	1	enzyme-activity-adenyl-cyclase-hemolysin			no_curie			not_found	n/a	no_curie
adipate	12	aerobic-growth-adipate; assimilation-adipate; builds-acid-from-adipate	CHEBI:17128	adipate(2-)	mismatch			not_found	n/a	mismatch
agar	6	assimilation-agar; carbon-source-agar; degradation-agar	CHEBI:2509	agar	exact	CHEBI:2509	agar	exact	yes	verified
agarase (EC3.2.1.81)	1	enzyme-activity-agarase-ec3-2-1-81			no_curie			not_found	n/a	no_curie
agarose	8	assimilation-agarose; carbon-source-agarose; degradation-agarose	CHEBI:15022	electron donor	mismatch	CHEBI:2511	agarose	exact	no	mismatch
